paper_id,title,year,domain_type,domain_name,justification,quote,aliases
d11db8c5240b307128f832816e78f390,Caustics: A Python Package for Accelerated Strong Gravitational Lensing Simulations,2024,primary,Astrophysics and Machine Learning,"The paper discusses a Python package for simulating strong gravitational lensing, which is a topic in astrophysics that also utilizes machine learning methods for data processing and analysis.","Gravitational lensing is the deflection of light rays due to the gravity of intervening
masses.","['Gravitational Lensing', 'Astrophysical Simulations']"
e57c0cabfd462478c18616ab368dd2fb,UTG: Towards a Unified View of Snapshot and Event Based Models for Temporal Graphs,2024,primary,Graph Neural Networks,"The research focuses on Graph Neural Networks (GNNs), evaluating their performance on temporal graphs, which indicates its primary placement in the field.","Recently, Graph Neural Networks (GNNs) and Graph Transformers have achieved remarkable success in various tasks for static graphs.",['GNNs']
94a1abcda4ae84576cca79d0fcedc40d,Towards a General Recipe for Combinatorial Optimization with Multi-Filter GNNs,2024,primary,Combinatorial Optimization,"The paper focuses on solving combinatorial optimization problems using GNNs, which is a specific application area within the broader field of optimization in computer science and mathematics.","Here, we introduce GCON, a novel GNN architecture that leverages a complex filter bank and localized attention mechanisms to solve CO problems on graphs.",['CO']
def5cb144365b784152d6db59e96330d,Towards Enhancing the Reproducibility of Deep Learning Bugs: An Empirical Study,2024,sub,Deep Learning,"The paper centers around the challenges in reproducing deep learning bugs, indicating Deep Learning as a relevant sub-field.","Deep learning has achieved remarkable progress in various domains. However, like any software system, deep learning systems contain bugs.",[]
def5cb144365b784152d6db59e96330d,Towards Enhancing the Reproducibility of Deep Learning Bugs: An Empirical Study,2024,sub,Bug Reproducibility,"The paper specifically deals with the reproducibility of bugs within deep learning systems, indicating this as a sub-field.",Our research addresses the critical issue of deep learning bug reproducibility.,[]
d5f73acf1d3717e9b02ee2077e4d39d5,"Reinforcement Learning for Versatile, Dynamic, and Robust Bipedal Locomotion Control",2025,sub,Bipedal Locomotion,The primary application domain of the study is controlling bipedal locomotion in robots.,The goal of this framework is to enable a range of dynamic bipedal locomotion skills in the real world with a limited prescription on the resulting maneuvers.,[]
d5f73acf1d3717e9b02ee2077e4d39d5,"Reinforcement Learning for Versatile, Dynamic, and Robust Bipedal Locomotion Control",2025,sub,Robotics,"The paper is based on the development and control of robots, specifically bipedal robots.",This work pushes the limits of agility for bipedal robots through extensive real-world experiments.,[]
b0d42dd21895be41779d5b20775cfac1,Generalization Limits of Graph Neural Networks in Identity Effects Learning,2025,sub,Graph Neural Networks,"The paper deals with the capabilities and limitations of Graph Neural Networks specifically, including various models and their expressive power.",Graph Neural Networks (GNNs) have emerged as prominent models for handling structured data.,[]
a0753c8524ebc0eeda182ac1880e77e7,Pruning Sparse Tensor Neural Networks Enables Deep Learning for 3D Ultrasound Localization Microscopy,2025,sub,Medical Imaging,"The paper applies deep learning models to medical imaging, specifically Ultrasound Localization Microscopy.",Ultrasound Localization Microscopy (ULM) is a non-invasive technique that allows for the imaging of microvessels in vivo.,[]
9b938813f44875a003a10357861f8ca9,Towards contrast-agnostic soft segmentation of the spinal cord,2025,sub,Medical Imaging,The paper specifically deals with segmented images from MRI scans and aims to improve clinical imaging techniques.,We present a deep learning-based method that produces soft segmentations of the spinal cord.,[]
963ae27d710dd24347431e36743b2770,Ex Post Conditions for the Exactness of Optimal Power Flow Conic Relaxations,2025,sub,Power Systems,"The context of the paper is within electrical power systems, specifically focusing on optimal power flow.",The optimal power flow (OPF) problem consists of minimizing generation costs in an electric network while ensuring that all loads are adequately supplied and that the transmission physical constraints are met.,[]
87ab5d343e9e8fe30ff6b5b5601a275c,Multimodal and Force-Matched Imitation Learning with a See-Through Visuotactile Sensor,2025,sub,Imitation Learning,"The paper discusses multiple contributions to improve imitation learning in robotics, specifically through kinesthetic teaching and learned mode switching.","In this paper, we investigate how to leverage visuotactile sensing for imitation learning (IL) on a real robotic platform for contact-rich manipulation tasks.",['IL']
87ab5d343e9e8fe30ff6b5b5601a275c,Multimodal and Force-Matched Imitation Learning with a See-Through Visuotactile Sensor,2025,sub,Tactile Sensing,"The research leverages a see-through visuotactile sensor for contact feedback in robotic manipulation, making tactile sensing a significant aspect of the study.",A recently-introduced see-through-your-skin (STS) multimodal optical sensor variant combines visual sensing with tactile sensing by leveraging a transparent membrane and controllable lighting.,"['Tactile Sensing', 'Visuotactile Sensing']"
b96ebdf56345e35cfe1e0e1937252f13,Harnessing Pre-trained Generalist Agents for Software Engineering Tasks,2024,sub,Automated Game Testing,The paper applies reinforcement learning for the detection of bugs in games.,...assessing the performance of two generalist agents on two important SE tasks: the detection of bugs in games...,[]
b96ebdf56345e35cfe1e0e1937252f13,Harnessing Pre-trained Generalist Agents for Software Engineering Tasks,2024,sub,Job-Shop Scheduling,The paper uses reinforcement learning to minimize makespan in scheduling tasks.,"...the minimization of makespan in a scheduling task, to solve the job-shop scheduling problem...",['JSSP']
d938ec977662ca08e840eb4b729b1231,Combining supervised learning and local search for the multicommodity capacitated fixed-charge network design problem,2024,sub,Machine Learning,"The research heavily uses machine learning strategies, particularly supervised learning, to improve optimization heuristics.",Our method feeds a prediction from a machine learning (ML) model to a Local Search (LS) algorithm.,[]
d938ec977662ca08e840eb4b729b1231,Combining supervised learning and local search for the multicommodity capacitated fixed-charge network design problem,2024,sub,Network Design,"The paper focuses specifically on a network design problem, indicating it as a primary aspect of the study.",The multicommodity capacitated fixed-charge network design problem (MCFND) is an influential problem...,['MCFND']
c12285d501082902f649ee0390a14dbb,Evaluating the effectiveness of the Smart About Meds (SAM) mobile application among patients discharged from hospital: protocol of a randomised controlled trial,2024,sub,Mobile Health,"The SAM application is a mobile health tool designed to enhance medication adherence, fitting within the mobile health research domain.","Smart About Meds (SAM) is a pilot-­tested, patient-centred mobile application that leverages the Information–Motivation–Behavioural Skills Model to provide an array of features.",['mHealth']
c12285d501082902f649ee0390a14dbb,Evaluating the effectiveness of the Smart About Meds (SAM) mobile application among patients discharged from hospital: protocol of a randomised controlled trial,2024,sub,Pharmacoeconomics,"The study aims to reduce potentially inappropriate medication use and improve medication adherence, impacting healthcare costs, which links to pharmacoeconomics.",Targeting non­adherence while raising patient awareness to PIMs may have a synergistic effect because elimination of PIMs will reduce the number of drugs in a patient’s regimen and associated costs.,[]
d11db8c5240b307128f832816e78f390,Caustics: A Python Package for Accelerated Strong Gravitational Lensing Simulations,2024,sub,Gravitational Lensing,The focus of the paper is on simulating strong gravitational lensing systems.,Caustics is a gravitational lensing simulator.,[]
d11db8c5240b307128f832816e78f390,Caustics: A Python Package for Accelerated Strong Gravitational Lensing Simulations,2024,sub,Machine Learning,The paper emphasizes the integration of deep learning and machine learning techniques in processing and analyzing lensing simulations.,"Machine learning will be critical to achieve the necessary speed to process these
lenses, it will also be needed to meet the complexity of strong lens modelling.",[]
e57c0cabfd462478c18616ab368dd2fb,UTG: Towards a Unified View of Snapshot and Event Based Models for Temporal Graphs,2024,sub,Temporal Graphs,"The paper establishes a framework specifically for temporal graphs and conducts experiments on temporal datasets, reflecting this focus.","In this paper, we introduce Unified Temporal Graph (UTG), a framework that unifies snapshot-based and event-based machine learning models under a single umbrella.",[]
e57c0cabfd462478c18616ab368dd2fb,UTG: Towards a Unified View of Snapshot and Event Based Models for Temporal Graphs,2024,sub,Graph Transformers,Graph Transformers are mentioned as part of the successful models along with GNNs for tasks related to graphs.,Graph Neural Networks (GNNs) and Graph Transformers have achieved remarkable success in various tasks for static graphs.,[]
94a1abcda4ae84576cca79d0fcedc40d,Towards a General Recipe for Combinatorial Optimization with Multi-Filter GNNs,2024,sub,Graph Neural Networks,The GCON model is a specific type of graph neural network designed to handle combinatorial optimization problems.,Recent years have seen the rapid development of neural networks for graph-structured data.,"['GNN', 'Graph NNs']"
94a1abcda4ae84576cca79d0fcedc40d,Towards a General Recipe for Combinatorial Optimization with Multi-Filter GNNs,2024,sub,Graph Signal Processing,"The paper leverages concepts from graph signal processing, such as low-pass filtering, to design GCON's architecture.","That can be interpreted, from the perspective of graph signal processing (GSP), as low-pass filtering.",['GSP']
